Best,Epoch,Trades,Avg profit,Median profit,Total profit,Stake currency,Profit,Avg duration,Trade count long,Trade count short,Objective,swapper_long_entry,swapper_short_entry,swapper_long_exit,swapper_short_exit
,141,2623,0.03%,0.08645647221238933,0.46798442,,467.98,1:23:00,2168,455,-416.60474,pro-negative,anti-positive,pro-positive,pro-negative
,142,5371,-0.03%,0.0,-0.86638064,,-866.38,2:06:00,4474,897,742.01636,anti-positive,pro-positive,anti-negative,anti-positive
,143,5165,-0.02%,0.004551823784317796,-0.81826144,,-818.26,2:27:00,2522,2643,368.34901,anti-positive,pro-positive,anti-negative,anti-negative
,144,1943,0.05%,0.11830347082476948,1.20851596,,"1,208.52",1:09:00,1471,472,"-1,141.14030",anti-negative,anti-positive,pro-positive,pro-negative
,145,3496,-0.05%,0.0,-0.87664556,,-876.65,3:17:00,3317,179,736.15061,anti-positive,anti-positive,anti-positive,pro-negative
,146,2547,0.01%,0.0869998740981346,0.10203924,,102.04,1:35:00,901,1646,-83.56692,pro-positive,anti-negative,pro-negative,anti-positive
,147,1384,0.02%,0.06608428369669238,0.16724061,,167.24,2:10:00,938,446,-137.74272,pro-positive,anti-positive,anti-positive,anti-negative
,148,1412,0.03%,0.09290643714383677,0.20741616,,207.42,2:03:00,951,461,-167.90738,pro-positive,anti-positive,anti-positive,pro-positive
,149,4881,0.01%,0.009918949962452947,-0.22350989,,-223.51,2:28:00,1438,3443,199.28443,pro-negative,pro-positive,anti-positive,anti-negative
,150,2433,0.03%,0.02577506589479677,0.33756838,,337.57,2:43:00,2052,381,-316.41698,anti-negative,anti-positive,anti-positive,anti-negative
,151,5165,-0.02%,0.004551823784317796,-0.82062712,,-820.63,2:27:00,2521,2644,369.60227,anti-positive,pro-positive,anti-negative,pro-negative
,152,3838,-0.04%,0.0012148848250316219,-0.87475625,,-874.76,3:10:00,3073,765,702.60841,anti-positive,pro-negative,anti-positive,pro-negative
,153,3134,0.03%,0.06713817653232337,0.73613479,,736.13,2:22:00,798,2336,-661.37567,pro-positive,anti-negative,anti-positive,pro-positive
,154,3988,0.04%,0.09190759228373899,1.82635412,,"1,826.35",2:00:00,1666,2322,"-1,690.04229",anti-positive,anti-negative,pro-positive,pro-positive
,155,3057,0.05%,0.060734436641778175,2.08821113,,"2,088.21",2:02:00,2658,399,"-1,994.22835",pro-negative,anti-positive,pro-negative,pro-positive
,156,3942,0.05%,0.0833531149106394,3.10876867,,"3,108.77",2:03:00,1719,2223,"-2,893.10989",pro-negative,anti-negative,pro-positive,pro-positive
,157,2465,0.03%,0.04292504762202217,0.48978669,,489.79,2:38:00,2070,395,-462.35985,anti-negative,anti-positive,anti-positive,anti-positive
,158,5435,-0.02%,0.0,-0.82374583,,-823.75,2:03:00,4515,920,695.27034,anti-positive,anti-negative,pro-negative,anti-positive
,159,3811,0.02%,0.05578532972589442,0.04645716,,46.46,2:02:00,2502,1309,-42.90808,pro-negative,anti-negative,anti-positive,anti-positive
,160,3736,0.04%,0.010054318564682873,1.68169634,,"1,681.70",3:17:00,881,2855,"-1,602.35552",pro-negative,pro-positive,anti-negative,pro-positive
,161,3295,0.06%,0.030229895236219658,3.81566874,,"3,815.67",2:55:00,1734,1561,"-3,674.08122",anti-negative,pro-negative,anti-positive,pro-positive
,162,1414,0.03%,0.09489941008353991,0.23192865,,231.93,2:00:00,951,463,-189.30930,pro-positive,anti-positive,anti-positive,anti-positive
,163,2624,0.00%,0.086636355483142,-0.12685998,,-126.86,1:30:00,924,1700,88.48261,pro-positive,anti-negative,anti-positive,anti-positive
,164,1953,0.04%,0.08797731695074257,0.94682378,,946.82,1:24:00,978,975,-824.37019,pro-positive,pro-negative,pro-positive,anti-positive
,165,4987,-0.02%,0.0,-0.81820384,,-818.20,2:09:00,4717,270,655.05063,anti-positive,anti-positive,pro-negative,pro-negative
,166,1436,0.04%,0.1029477965875693,0.47989321,,479.89,1:50:00,975,461,-410.86177,pro-positive,anti-positive,pro-positive,pro-positive
,167,4128,0.04%,0.10734556503593934,2.03856871,,"2,038.57",1:46:00,1816,2312,"-1,869.31246",anti-positive,anti-negative,pro-positive,anti-negative
,168,1516,0.03%,0.14288038255203778,0.47941710,,479.42,1:24:00,1040,476,-422.45560,pro-positive,anti-positive,anti-negative,pro-negative
,169,1438,0.04%,0.10679463366113197,0.50707322,,507.07,1:47:00,975,463,-446.62820,pro-positive,anti-positive,pro-positive,anti-positive
,170,1453,0.04%,0.10782153315422308,0.57270454,,572.70,1:41:00,982,471,-490.54050,pro-positive,anti-positive,pro-positive,pro-negative
,171,4922,-0.01%,0.0039519130871807345,-0.61599650,,-616.00,2:25:00,3826,1096,537.43607,anti-positive,pro-negative,pro-negative,pro-positive
,172,3184,0.03%,0.0926732140481998,1.00643393,,"1,006.43",2:05:00,858,2326,-879.01867,pro-positive,anti-negative,anti-positive,anti-negative
,173,3035,0.04%,0.09299928990804718,1.33149613,,"1,331.50",1:13:00,2072,963,"-1,210.36676",anti-positive,pro-negative,pro-positive,anti-positive
,174,4149,0.05%,0.06586129156965487,3.35287550,,"3,352.88",2:14:00,2419,1730,"-3,243.13982",pro-negative,pro-negative,anti-positive,pro-negative
,175,1468,0.03%,0.13339217377848367,0.41375836,,413.76,1:39:00,1019,449,-363.78627,pro-positive,anti-positive,anti-negative,anti-negative
,176,3090,0.03%,0.08665672425415476,0.74493988,,744.94,1:16:00,2152,938,-694.54930,pro-negative,pro-negative,pro-positive,anti-positive
,177,3076,0.06%,0.14578879101467554,3.98885798,,"3,988.86",1:51:00,942,2134,"-3,934.90398",pro-positive,pro-negative,pro-positive,anti-negative
,178,5119,-0.03%,0.0024144889988548936,-0.85042100,,-850.42,2:28:00,2484,2635,382.44752,anti-positive,pro-positive,pro-negative,pro-negative
,179,4149,0.05%,0.06586129156965487,3.52798839,,"3,527.99",2:14:00,2421,1728,"-3,413.33215",pro-negative,pro-negative,anti-positive,anti-negative
